app0,app1,left,right
cut_sgemm-1,cut_wmma-0,40,56
cut_sgemm-1,parb_cutcp-0,56,72
cut_sgemm-1,parb_stencil-0,32,48
cut_sgemm-1,parb_lbm-0,32,48
cut_sgemm-1,parb_spmv-0,24,40
cut_sgemm-1,rod_heartwall-0,56,72
cut_sgemm-1,rod_hotspot-0,32,48
cut_sgemm-1,rod_hotspot3d-0,32,48
cut_sgemm-1,rod_streamcluster-0,24,40
cut_sgemm-1,rod_pathfinder-0,56,72
cut_sgemm-1,rod_lavamd-0,24,40
cut_sgemm-1,nvd_binomial-0,56,72
cut_sgemm-1,nvd_blackscholes-0,32,48
cut_sgemm-1,nvd_fdtd3d-0,56,72
cut_sgemm-1,nvd_interval-0,40,56
cut_sgemm-1,nvd_sobol-0,56,72
cut_wmma-0,parb_cutcp-0,40,56
cut_wmma-0,parb_stencil-0,32,48
cut_wmma-0,parb_lbm-0,32,48
cut_wmma-0,parb_spmv-0,24,40
cut_wmma-0,rod_heartwall-0,40,56
cut_wmma-0,rod_hotspot-0,24,40
cut_wmma-0,rod_hotspot3d-0,32,48
cut_wmma-0,rod_streamcluster-0,24,40
cut_wmma-0,rod_pathfinder-0,24,40
cut_wmma-0,rod_lavamd-0,24,40
cut_wmma-0,nvd_binomial-0,24,40
cut_wmma-0,nvd_blackscholes-0,32,48
cut_wmma-0,nvd_fdtd3d-0,24,40
cut_wmma-0,nvd_interval-0,40,56
cut_wmma-0,nvd_sobol-0,24,40
parb_cutcp-0,parb_stencil-0,24,40
parb_cutcp-0,parb_lbm-0,32,48
parb_cutcp-0,parb_spmv-0,8,24
parb_cutcp-0,rod_heartwall-0,40,56
parb_cutcp-0,rod_hotspot-0,8,24
parb_cutcp-0,rod_hotspot3d-0,16,32
parb_cutcp-0,rod_streamcluster-0,8,24
parb_cutcp-0,rod_pathfinder-0,0,16
parb_cutcp-0,rod_lavamd-0,8,24
parb_stencil-0,rod_heartwall-0,40,56
parb_stencil-0,rod_hotspot-0,32,48
parb_stencil-0,rod_hotspot3d-0,32,48
parb_stencil-0,rod_streamcluster-0,24,40
parb_stencil-0,rod_pathfinder-0,32,48
parb_stencil-0,rod_lavamd-0,32,48
parb_lbm-0,parb_stencil-0,32,48
parb_lbm-0,parb_spmv-0,24,40
parb_lbm-0,rod_heartwall-0,48,64
parb_lbm-0,rod_hotspot-0,32,48
parb_lbm-0,rod_hotspot3d-0,32,48
parb_lbm-0,rod_streamcluster-0,24,40
parb_lbm-0,rod_pathfinder-0,32,48
parb_lbm-0,rod_lavamd-0,32,48
parb_spmv-0,parb_stencil-0,32,48
parb_spmv-0,rod_heartwall-0,48,64
parb_spmv-0,rod_hotspot-0,40,56
parb_spmv-0,rod_hotspot3d-0,40,56
parb_spmv-0,rod_streamcluster-0,24,40
parb_spmv-0,rod_pathfinder-0,40,56
parb_spmv-0,rod_lavamd-0,40,56
rod_heartwall-0,rod_hotspot-0,8,24
rod_heartwall-0,rod_hotspot3d-0,16,32
rod_heartwall-0,rod_streamcluster-0,16,32
rod_heartwall-0,rod_pathfinder-0,16,32
rod_heartwall-0,rod_lavamd-0,8,24
rod_hotspot-0,rod_hotspot3d-0,32,48
rod_hotspot-0,rod_streamcluster-0,24,40
rod_hotspot-0,rod_pathfinder-0,32,48
rod_hotspot-0,rod_lavamd-0,24,40
rod_hotspot3d-0,rod_streamcluster-0,24,40
rod_hotspot3d-0,rod_pathfinder-0,32,48
rod_hotspot3d-0,rod_lavamd-0,24,40
rod_pathfinder-0,rod_streamcluster-0,24,40
rod_lavamd-0,rod_streamcluster-0,24,40
rod_lavamd-0,rod_pathfinder-0,32,48
nvd_binomial-0,parb_cutcp-0,56,72
nvd_binomial-0,parb_stencil-0,32,48
nvd_binomial-0,parb_lbm-0,32,48
nvd_binomial-0,parb_spmv-0,24,40
nvd_binomial-0,rod_heartwall-0,56,72
nvd_binomial-0,rod_hotspot-0,32,48
nvd_binomial-0,rod_hotspot3d-0,32,48
nvd_binomial-0,rod_streamcluster-0,24,40
nvd_binomial-0,rod_pathfinder-0,32,48
nvd_binomial-0,rod_lavamd-0,24,40
nvd_binomial-0,nvd_blackscholes-0,32,48
nvd_binomial-0,nvd_fdtd3d-0,56,72
nvd_binomial-0,nvd_interval-0,40,56
nvd_binomial-0,nvd_sobol-0,24,40
nvd_blackscholes-0,parb_cutcp-0,32,48
nvd_blackscholes-0,parb_stencil-0,32,48
nvd_blackscholes-0,parb_lbm-0,32,48
nvd_blackscholes-0,parb_spmv-0,32,48
nvd_blackscholes-0,rod_heartwall-0,40,56
nvd_blackscholes-0,rod_hotspot-0,32,48
nvd_blackscholes-0,rod_hotspot3d-0,32,48
nvd_blackscholes-0,rod_streamcluster-0,24,40
nvd_blackscholes-0,rod_pathfinder-0,32,48
nvd_blackscholes-0,rod_lavamd-0,32,48
nvd_blackscholes-0,nvd_fdtd3d-0,32,48
nvd_blackscholes-0,nvd_interval-0,32,48
nvd_blackscholes-0,nvd_sobol-0,32,48
nvd_fdtd3d-0,parb_cutcp-0,56,72
nvd_fdtd3d-0,parb_stencil-0,32,48
nvd_fdtd3d-0,parb_lbm-0,32,48
nvd_fdtd3d-0,parb_spmv-0,16,32
nvd_fdtd3d-0,rod_heartwall-0,56,72
nvd_fdtd3d-0,rod_hotspot-0,16,32
nvd_fdtd3d-0,rod_hotspot3d-0,16,32
nvd_fdtd3d-0,rod_streamcluster-0,24,40
nvd_fdtd3d-0,rod_pathfinder-0,24,40
nvd_fdtd3d-0,rod_lavamd-0,0,16
nvd_fdtd3d-0,nvd_interval-0,40,56
nvd_fdtd3d-0,nvd_sobol-0,0,16
nvd_interval-0,parb_cutcp-0,48,64
nvd_interval-0,parb_stencil-0,32,48
nvd_interval-0,parb_lbm-0,32,48
nvd_interval-0,parb_spmv-0,24,40
nvd_interval-0,rod_heartwall-0,48,64
nvd_interval-0,rod_hotspot-0,24,40
nvd_interval-0,rod_hotspot3d-0,32,48
nvd_interval-0,rod_streamcluster-0,24,40
nvd_interval-0,rod_pathfinder-0,24,40
nvd_interval-0,rod_lavamd-0,24,40
nvd_interval-0,nvd_sobol-0,24,40
nvd_sobol-0,parb_cutcp-0,56,72
nvd_sobol-0,parb_stencil-0,32,48
nvd_sobol-0,parb_lbm-0,32,48
nvd_sobol-0,parb_spmv-0,24,40
nvd_sobol-0,rod_heartwall-0,56,72
nvd_sobol-0,rod_hotspot-0,32,48
nvd_sobol-0,rod_hotspot3d-0,32,48
nvd_sobol-0,rod_streamcluster-0,24,40
nvd_sobol-0,rod_pathfinder-0,32,48
nvd_sobol-0,rod_lavamd-0,24,40
